paper_number,doi,year_published,journal,article_type,data_used,data_availability,data_availability_text,data_link,data_archive,data_doi,data_license,data_license_type,data_download,data_open,data_format,data_README,data_README_scale,data_completeness,code_used,code_alert,code_archived,code_availability,code_link,code_archive,code_doi,code_license,code_license_type,code_CITATION,code_download,code_open,code_format,code_language,code_README,code_README_scale,code_annotation_scale,code_vignette,code_Rpackage_available,code_application_cited,code_comments,country_first,comments,recorder_ID
1892,10.1111/1365-2656.13995,2023,Journal of Animal Ecology,Research Article,Yes,Yes,"Data available from the Dryad Digital Repository https://doi.org/10.5061/dryad.8cz8w9gs1 (Amarasekare et al., 2023).",Yes,Dryad,Yes,Yes,CC0,Yes,Yes,.csv/.tsv,Yes,8,Complete,Yes,"We analysed temperature effects on cumulative survivorship by fitting the model to data using non-linear regression (nls package in R; RDevelopmentCoreTeam, 2016),",No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,United States of America,NA,54
233,10.1111/1365-2435.13032,2018,Functional Ecology,Research Article,Yes,Yes,"The data related to this manuscript are available from the Dryad Digital Repository https://doi.org/10.5061/dryad.s8045 (Viblanc et al., 2017).",Yes,Dryad,Yes,Yes,CC0,Yes,Yes,.xls(x),No,NA,Complete,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,France,NA,123
1222,10.1111/1365-2745.12944,2018,Journal of Ecology,Research Article,Yes,Yes,"Data are available at https://doi.org/10.5281/zenodo.1165521 (Barbe et al., 2018).",Yes,Zenodo,Yes,Yes,CC BY,Yes,Yes,.xls(x),No,NA,High,Yes,"All statistical analyses were performed with r 3.0.3 software (R Development Core Team, 2014), with the packages car and leaps.",No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,France,NA,13
4152,10.1111/1365-2745.12907,2017,Journal of Ecology,Research Article,Yes,Yes,"Data available from the Dryad Digital Repository: https://doi.org/10.5061/dryad.39f10 (Heinen, van der Sluijs, Biere, Harvey, & Martijn Bezemer, 2017).",Yes,Dryad,Yes,Yes,CC0,Yes,Yes,.xls(x),No,NA,Complete,Yes,"Analyses were performed in r version 3.0.3 (R Development Core Team, 2008) using the nlme package (Pinheiro, Bates, DebRoy, Sarkar, & R Core Team, 2017).",No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Netherlands (Kingdom of the),"This older paper doesn't have an ""Open Research"" section but one in the main text called ""data accessibility""",96
1402,10.1111/2041-210X.14479,2024,Methods in Ecology and Evolution,Practical Tools,Yes,Yes,"Individual rates of sediment oxygen demand are available via the University of Auckland Figshare repository at https://doi.org/10.17608/k6.auckland.25808182.v2 (Bartl et al., 2024).",Yes,Figshare,Yes,Yes,CC BY,Yes,Yes,.csv/.tsv,No,NA,Unsure,Yes,"Due to lack of normal distribution and homogeneity of variances, a Kruskal–Wallis Test with Dunn's post hoc Test (Holm-Sidak adjustment) in Rstudio (R version 4.3.1; R Core Team, 2023).",No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,New Zealand,NA,116
1022,10.1111/1365-2745.14152,2023,Journal of Ecology,Research Article,Yes,Yes,"DATA AVAILABILITY STATEMENT
Data are available on the CIRAD Dataverse: https://doi.org/10.18167/DVN1/T0DMFJ (Sylvie et al., 2023). The metadata are openly available, and the data are available upon request, due to the fact that data are co-owned by forestry companies and national research structures.",Yes,Other repo/database,Yes,Unsure,NA,"No, because the data are embargoed",No,.RDS,Quasi-README,3,NA,Yes,"We performed all statistical analyses with the R software (R Core Team, 2022) and with the package lme4 (Bates et al., 2015) for linear mixed modelling.",No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,France,NA,127
705,10.1111/1365-2664.13003,2017,Journal of Applied Ecology,Research Article,No,NA,"Dataset used available from the Dryad Digital Repository https://doi.org/10.5061/dryad.h7v6v (Meisingset et al., 2017).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,"We estimated home range size by using the fixed kernel technique (Worton, 1989), using the r package adehabitat (Calenge, 2006).",No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36
60,10.1111/1365-2656.13270,2020,Journal of Animal Ecology,Research Article,Yes,Yes,"Data are available in the Dryad Digital Repository: https://doi.org/10.25338/B8162M (Karban and Yang, 2020)",Yes,Dryad,Yes,Yes,CC0,Yes,Yes,.xls(x),No,NA,High,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,United States of America,NA,21
2231,10.1111/1365-2664.13709,2020,Journal of Applied Ecology,Research Article,Yes,Yes,"Data available from the 4TU database: https://doi.org/10.4121/uuid:04b25e70-ca3e-489f-9510-36385c1a4104 (Schotanus, Walles, et al., 2020).",Yes,Other repo/database,Yes,Yes,CC0,Yes,Yes,.xls(x),Yes,6,Low,Yes,"All statistical analyses were carried out in R, 3.5.1.",No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Netherlands (Kingdom of the),"The archived data was already analysed data which could only be used to reproduce the figures, but not the analyses.",81
4200,10.1111/2041-210X.13871,2022,Methods in Ecology and Evolution,Research Article,Yes,Yes,The acoustic data used in this paper are available at the Korea Polar Data Center (https://doi.org/10.22663/KOPRI-KPDC-00001902.2). The data can also be obtained upon reasonable request to the corresponding author (hsla@kopri.re.kr),Yes,Other repo/database,Yes,Yes,CC BY derivatives,Yes,Needs specific software or too large,.mat,Yes,8,Complete,Yes,NA,Yes,No,Yes,Other repo/database,Yes,Yes,CC BY derivatives,No,Yes,Yes,native source code,MATLAB,No,NA,9,No,Not an R package,NA,"Code only for processing dataset, not for full analytical pipeline described in the paper. No, it does not use unit testing or continuous integration or containers.","Japan;Korea, Republic of (South Korea)",NA,84
1175,10.1111/1365-2745.14159,2023,Journal of Ecology,Research Article,Yes,Yes,"Data are available at Dryad Digital Repository: https://doi.org/10.5061/dryad.0cfxpnw7c (Fahey et al., 2023). Raw sequence reads are available on the NCBI sequence read archive (Bioproject accession number PRJNA821410).",Yes,Dryad;Other repo/database,Yes,Yes,CC0,Yes,Yes,.csv/.tsv,Yes,8,Complete,Yes,"All statistical analyses were conducted in R version 4.0.3 (R Core Team, 2020)
llumina sequences were then processed with the DADA2 pipeline",No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Canada,NA,43
6150,10.1111/1365-2656.14232,2024,Journal of Animal Ecology,Research Article,Yes,Yes,"Data available from the Dryad Digital Repository: https://doi-org.ezproxy.scu.edu.au/10.5061/dryad.3j9kd51vz (Postema, 2024).",Yes,Dryad,Yes,Yes,CC0,Yes,Yes,.csv/.tsv,Yes,10,Complete,Yes,NA,Yes,No,Yes,Zenodo,Yes,Yes,MIT,Unsure,Yes,Yes,.html,R,No,NA,10,No,Not an R package,NA,NA,United States of America,NA,132
7340,10.1111/1365-2435.14168,2022,Functional Ecology,Research Article,Yes,Yes,"Data Rideout et al. (2022), Data from: Environmental filtering of macroinvertebrate traits influences ecosystem functioning in a large river floodplain, Dryad, Dataset, https://doi.org/10.5061/dryad.xksn02vcm. Trait database: Rideout (2020). nata1iekat/GLM_invertebrate_traits_v1:GLM_invertebrate_traits_v1 (Version v1.0.0) [Dataset]. Zenodo. http://doi.org/10.5281/zenodo.3948516. DNA metabarcoding: Raw sequence data have been deposited to the National Centre for Biotechnology Information (NCBI) Short Read Archive (SRA) under BioProjectID PRJNA640405. The bioinformatic pipeline used to process COI metabarcodes is available from GitHub at https://github.com/Hajibabaei-Lab/SCVUC_COI_metabarcode_pipeline. The COI Classifier used to make taxonomic assignments is also available from GitHub at https://github.com/terrimporter/CO1Classifier.",Yes,"Dryad;GitHub, GitLab, Codeberg or similar platform;Zenodo;Other repo/database",Yes,NA,CC0,Yes,Yes,.csv/.tsv,Yes,4,Complete,Yes,NA,Yes,Yes,Yes,"GitHub, Codeberg, Gitlab, or similar platform",No,Yes,GPL,NA,Yes,Yes,native source code,Perl,Yes,7,8,Yes,Not an R package,NA,NA,Canada,NA,2
2301,10.1111/1365-2656.14000,2023,Journal of Animal Ecology,Research Article,Yes,Yes,"Raw physiological data of Lampropholis skinks and R scripts used for biophysical modelling are available at Bridges Monash University data repository (Anderson & Chapple, 2022).",Yes,Other repo/database,Yes,Yes,CC BY,Yes,Yes,.csv/.tsv;.xls(x),No,NA,Complete,Yes,NA,Yes,Yes,Yes,Other repo/database,"Yes, same as data",Yes,CC BY,No,Yes,Yes,native source code,R,No,NA,8,No,Not an R package,NA,N/A,Australia,NA,63
777,10.1111/1365-2656.13655,2022,Journal of Animal Ecology,Research Article,Yes,Yes,"The data used in this study are archived on Zenodo https://doi.org/10.5281/zenodo.5787905 (Chiew et al., 2021).",Yes,Zenodo,Yes,NA,CC BY derivatives,Yes,Yes,.xls(x),No,NA,High,Yes,"""We then constructed species-by-sample matrices for each camera station and estimated mammal species richness and Shannon diversity using the iNEXT package (Chao et al., 2014; Hsieh et al., 2016) in r (R Core Team, 2020).""",No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Malaysia,NA,134
765,10.1111/2041-210X.12993,2018,Methods in Ecology and Evolution,Application,Yes,Yes,The data reported in this paper have been deposited in the open source database Zenodo at https://doi.org/10.5281/zenodo.1174331.,Yes,Zenodo,Yes,No,NA,Yes,Yes,.xls(x),No,NA,Unsure,Yes,"""Perch position data were thinned using afunction written in the statistical package r that calculated the trans-mission period for all positions for a given trial and then removed.....""",No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Canada,NA,133
26,10.1111/1365-2435.14552,2024,Functional Ecology,Research Article,Yes,Yes,"Data available from the Dryad Digital Repository: https://doi.org/10.5061/dryad.0k6djhb51 (Wu et al., 2023).",Yes,Dryad,Yes,Yes,CC0,Yes,Yes,.xls(x),Yes,3,Complete,Yes,All statistical analyses were performed using R version 4.0.0.,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,China,NA,143
7122,10.1111/1365-2656.13367,2020,Journal of Animal Ecology,Research Article,Yes,Yes,"Data are available from the Dryad Digital Repository https://doi.org/10.5061/dryad.stqjq2c1w (Charly et al., 2020).",Yes,Dryad,Yes,Yes,CC0,Yes,Yes,.xls(x),Yes,6,High,Yes,"Proportional assumption was checked using cox.zph() function in the R survival package version 3.1-12 (Therneau, 2020).",No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,France,NA,87
1211,10.1111/1365-2745.14046,2022,Journal of Ecology,Research Article,Yes,Yes,"Data are available from the Dryad Digital Repository https://doi.org/10.5061/dryad.h9w0vt4n5 (Brosset et al., 2022).",Yes,Dryad,Yes,Yes,CC0,Yes,Yes,.xls(x),Yes,10,Complete,Yes,"All data were analysed using the SPSS 25 software (IBM Corp., USA).",No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Finland,NA,57
752,10.1002/pan3.10564,2023,People and Nature,Research Article,Yes,Yes,All data considered for the analysis of this study are stored and available at: https://doi.org/10.25829/idiv.3538-su6fj5.,Yes,Other repo/database,Yes,Yes,CC BY,Yes,Yes,.csv/.tsv,Yes,8,Unsure,Yes,"Analyses were conducted using R (version 4.2.1; R Core Team, 2022).",No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Germany,NA,83
5798,10.1111/1365-2656.12808,2018,Journal of Animal Ecology,Research Article,Yes,Yes,"Data available from the Dryad Digital Repository: https://doi.org/10.5061/dryad.68vs3 (Reif et al., 2018).",Yes,Dryad,Yes,Yes,CC0,Yes,Yes,.csv/.tsv,Yes,10,Low,Yes,"tatistical analysis was performed in r version 3.4 (R Foundation for Statistical Computing, 2017) using AD Model Builder (Fournier et al., 2012; Skaug, Fournier, Nielsen, Magnusson, & Bolker, 2016).",No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Czechia,NA,104
303,10.1111/1365-2435.13988,2021,Functional Ecology,Research Article,Yes,Yes,"Data deposited in the Dryad Digital Repository http://doi.org/10.5061/dryad.f1vhhmgz8 (Ohsaki et al., 2021).",Yes,Dryad,Yes,Yes,CC0,Yes,Yes,.csv/.tsv,Yes,5,Complete,Yes,"All statistical analyses were performed in R v. 3.6.1 software (R Development Core Team, 2019).",No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Japan,NA,78
1832,10.1111/1365-2435.13428,2019,Functional Ecology,Research Article,Yes,Yes,"Data are available at the Dryad Digital Repository https://doi.
org/10.5061/dryad.674g1f7 (Lyu et al., 2019).",Yes,Dryad,Yes,Yes,CC0,Yes,Yes,.xls(x),No,NA,Low,Yes,"All statistical analyses were performed using the SPSS 21.0 statistical
software (SPSS version 21.0, SPSS Inc., Chicago, IL, USA) at a sig-
nificance level of p < .05. The Spearman correlation between the PE
and different variables as well as between each other was calculated
using the R package Corrplot (Wei, 2016)",No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,China;United States of America,NA,22
1042,10.1111/1365-2656.12882,2018,Journal of Animal Ecology,Research Article,Yes,Yes,"Data have been made available on the Figshare Digital Repository: https://doi.org/10.6084/m9.figshare.6682670.v1 (Mella, Possell, Smith, & McArthur 2018).",Yes,Figshare,Yes,Yes,CC BY,Yes,Yes,.csv/.tsv;.xls(x),Yes,6,Complete,Yes,"""At each site, we determined whether each feeding station was visited (1) or not (0) during each experimental night, and tested whether the probability of a visit was a function of treatment (dietary N content as a continuous variable) using logistic regression in sas (PROC GLIMMIX with a binomial distribution and logit link function, sas 9.4). Day (fixed effect), site (random effect) and feeding station nested within site (random effect) were also included in the model.""",No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Australia,Statistics done using SAS - unsure if code or not,30
1369,10.1111/1365-2656.13052,2019,Journal of Animal Ecology,Research Article,Yes,Yes,"The data used in this manuscript are available from the Dryad Digital Repository: http://doi.org/10.5061/dryad.vc80r13 (Gibb, Grossman, Dickman, Decker, & Wardle, 2019). Data files: Simpson Desert Ants 1992–2013.",Yes,Dryad,Yes,Yes,CC0,Yes,Yes,.xls(x),Yes,10,Complete,Yes,"We used species density (the mean number of species per trap at each site) and three species richness estimators: the Chao, jack1 and boot estimators (Chao, 1987; Smith & van Belle, 1984 calculated using the r package Vegan, Oksanen et al., 2010) as our measure of the number of species.",No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Australia,NA,105
1023,10.1111/1365-2745.14067,2023,Journal of Ecology,Research Article,Yes,Yes,"DATA AVAILABILITY STATEMENT
The data that support the findings of the study are available in figshare at http://doi.org/10.6084/m9.figshare.19750666 (Han, 2023).",Yes,Figshare,Yes,Yes,CC BY,Yes,Yes,.xls(x),No,NA,Complete,Yes,"All statistical analyses were conducted using R v.4.1.0 (R Core Team, 2021).",No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,China,NA,127
1893,10.1111/2041-210X.14007,2022,Methods in Ecology and Evolution,Research Article,Yes,Yes,"Preprocessed weather radar data, simulated data and environmental data, together with trained models and results are available at https://doi.org/10.5281/zenodo.6874789 (Lippert et al., 2022). Raw simulation outputs are available at https://doi.org/10.5281/zenodo.6926210 (Lippert, 2022b). All analysis scripts and model implementations are archived at https://doi.org/10.5281/zenodo.6921595 (Lippert, 2022a).",Yes,Zenodo,Yes,Yes,CC0,Yes,Yes,.csv/.tsv;.shp,No,NA,Unsure,Yes,NA,Yes,Yes,Yes,Zenodo,Yes,Yes,CC0,Unsure,Yes,Maybe if I had the right software,native source code,Python,Yes,8,NA,Yes,Not an R package,NA,NA,Netherlands (Kingdom of the),NA,54
2232,10.1111/1365-2745.14017,2022,Journal of Ecology,Research Article,Yes,Yes,"All data used in this study are available online in the Dryad Digital Repository https://doi.org/10.5061/dryad.qnk98sfm3 (Swann et al., 2022).",Yes,Dryad,Yes,Yes,CC0,Yes,Yes,.csv/.tsv,Yes,4,Complete,Yes,All statistical analyses were done in R version 4.0.2.,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,United States of America,NA,81
3381,10.1111/1365-2664.13598,2020,Journal of Applied Ecology,Research Article,Yes,Yes,"Data available from the Dryad Digital Repository https://doi.org/10.5061/dryad.d2547d807 (McNicol et al., 2020).",Yes,Dryad,Yes,Yes,CC0,Yes,Yes,.csv/.tsv,Yes,8,Complete,Yes,NA,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unable to check,9,NA,United Kingdom of Great Britain and Northern Ireland,No code archived,28
101,10.1111/1365-2745.13654,2021,Journal of Ecology,Research Article,Yes,Yes,"Data have been archived with the Bonanza Creek LTER (Sullivan, 2021a, 2021b).",Yes,Other repo/database,Yes,No,NA,Yes,Yes,.csv/.tsv;.txt,Yes,3,High,Yes,"Monte Carlo simulations were then performed using the propagate package (Spiess, 2018) in R to estimate soil water potential and its 95% confidence intervals at SWC of 0.15 and 0.06 v/v. All graphics were produced using the ggplot2 package (Wickham, 2016) in R.",No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,United States of America,The data is stored in two different places,9
444,10.1111/1365-2435.13109,2018,Functional Ecology,Research Article,Yes,Yes,"The data supporting the results are archived in Dryad Digital Repository https://doi.org/10.5061/dryad.96r47g0 (Luo, Schmid, De Deyn, & Yu, 2018).",Yes,Dryad,Yes,Yes,CC0,Yes,Yes,.csv/.tsv,Yes,2,Complete,Yes,"All statistical analyses were carried out in r 3.4.2 (R Development Core Team, 2017).",No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,China,NA,113
2272,10.1111/1365-2435.13525,2020,Functional Ecology,Research Article,Yes,Yes,"The full dataset of the study, including laboratory results and analysis scripts, has been made available through Dryad Digital Repository at http://doi.org/10.5061/dryad.pvmcvdngw (Lindestad, von Schmalensee, Lehmann, & Gotthard, 2020).",Yes,Dryad,Yes,Yes,CC0,Yes,Yes,.txt,Yes,9,Complete,Yes,"All statistical analyses were carried out in R version 3.5.0 (R Development Core Team, 2018).",Yes,Yes,Yes,Dryad,Yes,Yes,CC0,No,Yes,Yes,native source code,R,Yes,2,10,No,Not an R package,NA,NA,Sweden,"Not sure if it is Dryad or just this paper, but I could see 1 citation of the data/R, but couldn't click for further information.",72
778,10.1111/1365-2664.14106,2022,Journal of Applied Ecology,Research Article,Yes,Yes,"Data available via the 4TU.ResearchData Repository at https://doi.org/10.4121/16617184 (Bakker et al., 2021b).",Yes,Other repo/database,Yes,Yes,CC BY,Yes,Yes,.csv/.tsv,Yes,10,Complete,Yes,"""All analyses were performed in R (R Development Core Team, 2019) using the glmmTMB package (Brooks et al., 2017), and the lme4 (Bates et al., 2015) and mass (Venables & Ripley, 2002) packages.""",No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Netherlands (Kingdom of the),NA,134
1223,10.1111/1365-2435.13194,2018,Functional Ecology,Research Article,Yes,Yes,"The dataset used in the present study, resulting from the BETSI data request on Collembola body size trait, is freely accessible online (Bonfanti, 2018), https://doi.org/10.5281/zenodo.1292461.",Yes,Zenodo,Yes,Yes,CC BY,Yes,Yes,.xls(x),Yes,6,Fair,Yes,"The analyses were performed with r software, version 3.4.0 (R Core Team, 2017), using the following r packages: “ade4” (Dray & Dufour, 2007), “fd” (Laliberté & Legendre, 2010), “ggplot2” (Wickham, 2016), “multcomp” (Hothorn, Bretz, & Westfall, 2008), “nlme” (Pinheiro, Bates, DebRoy, & Sarkar, 2017), “vegan” (Oksanen et al., 2017).",No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,France,NA,13
