Timestamp,1. Paper number,2. DOI of paper (please copy paste to avoid errors),3. Year of publication (on spreadsheet),4. Journal  (on spreadsheet),5. Article type  (on spreadsheet),6. Please paste the text of the Data Availability statement here,7. Does the paper have data?,1. Country of corresponding author  (on spreadsheet),"2. Country of first author. Use their main address on the paper. There may be more than one. We mean the address that is next to their name on the paper, NOT any “current address” that may be added for people who have recently moved institutions.","3. What georegion(s) were any novel data used in the paper collected from? Select all that apply. NOTE THIS MEANS DATA THAT WERE PHYSICALLY COLLECTED IN THESE COUNTRIES, DO NOT INCLUDE THINGS WHERE THE AUTHORS USED A DATASET FROM FRANCE BUT DID NOT ACTUALLY GO TO FRANCE TO COLLECT DATA :)",4. Are any authors (use their main address on the paper) based in the georegion the data were collected from?  Also check the Acknowledgments to see if data labourers from the georegion who are not authors are mentioned there instead.,Any comments about data equity that these Qs don't cover?,1. Are the data mentioned in the Data Availability statement?,2. Are you able to find the data using the link/instructions in the Data Availability statement?,3. Where are the data archived?,4. Does the dataset have a DOI?,5. Can you download the data?,6. Can you open the data?,7. What format are the data in?,8. Does the data have a README/metadata?,9. How useful is the README/metadata? Read the notes in the protocol to help with decisions here. SKIP THIS Q IF NO README EXISTS.,10. How complete is the archived data?,11. Does the data have a license?,"12. If yes, what license?",13. Has the data been cited (excluding the original paper it was archived for)? You can find this information on the Dryad and Figshare landing pages for the dataset on the right hand side. For other repositories it varies. If you can't find out easily just pick Unsure.,"14. If yes, how many times?  Enter number or Unclear",15. Has the data been cited by someone other than the original authors? You can find this by clicking on the citations and looking at the papers that cite the data.,"16. If yes, how many times? (excluding the original paper it was archived for) Enter number or Unclear","17. For any paper(s) citing the data, what georegions are on the authors main addresses (i.e. when doing the work)? Please select all relevant options.",0.1 Does the paper use code?,"0.2 If the paper uses code, and this is NOT archived (i.e. they mention using R or Python but don't provide any scripts) please copy-paste the text from the paper that alerted you to them using code...",0.3 Does the paper have archived code?,1. Is the code archiving described in the Data Availability (or equivalent) statement?,*Please paste the section of the text that refers to the archived code if this is NOT part of the Data Availability Statement*.,2. Are you able to find the code using the link/instructions in the Data Availability (or equivalent) statement?,3. Where are the code archived?,4. Does the code have a DOI?,5. Can you download the code?,6. Can you open the code?,7. What language is the code written in?,8. What format is the code in?,9. Does the code have a README?,10. How useful is the README? See the protocol for help with making decisions about this. SKIP THIS Q IF NO README EXISTS.,11. How well is the code annotated? See the protocol for help with making decisions about this.,12. Does the code have a separate vignette with examples of how the code should be used?,"13. If the code is an R Package, and it was previously available on CRAN/Bioconductor (as stated in the Data Availability statement), is it still available? Check this by trying to install it on the most recent version of R. If you don't know how to do this/can't do this choose ""Unable to check""","14. If the code is a package in another language (e.g. Python) published on PyPI please put the name of the package here and where it has been deposited we will see if it is still available. If you know how to look this up yourself, please do and mention whether it is still available here (Yes/No)",15. Does the code have a CITATION file?,16. Does the code have a license?,"17. If yes, what license?",18. APPLICATION papers only. How many times has the paper been cited? You can find this on the landing page of the paper.,19. Has the code been cited (excluding the original paper it was archived for)? Code = the archived code (not the paper or package).,"20. If yes, how many times? (excluding the original paper it was archived for) Enter number or Unclear","21. Do you have any other comments about the code? For example for those familiar with these processes, does the code use unit test? Doe it have continuous integration? Does it use docker/other containers?",21. Has the code been cited by someone other than the original authors?,"22. If yes, how many times? Enter number or Unclear",1. Did you have any issues recording data for this paper? If yes we will go back and check it for you later.,2. Any other comments about this paper?,2. What date did you do this? (YYYY-MM-DD),...62,...63,...64,...65,...66,...67,recorder_ID
2025/09/27 8:22:12 pm GMT,1110,10.1111/1365-2664.13961,2021,Journal of Applied Ecology,Research Article,"Data available from the Dryad Digital Repository https://orcid.org/0000-0002-9304-228X (Rashid et al., 2021).",Yes,India,India,India,Yes - First author;Yes - One or more middle authors,NA,Yes,No,Dryad,Yes,Yes,Yes,.xls(x),No,NA,All the data necessary to reproduce all analyses and results are archived.,Yes,CC0,No,NA,No,NA,NA,Yes,"All analyses were done in R (R Core Team, 2015).",No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,2025-09-27,NA,NA,NA,NA,NA,NA,148
2025/09/29 9:05:42 am GMT,1687,http://doi.org/10.1111/1365-2435.13865,2021,Functional Ecology,Research Article,"Data are deposited in the Dryad Digital Repository https://doi.org/10.5061/dryad.jwstqjq8v (Hordley et al., 2021).",Yes,United Kingdom of Great Britain and Northern Ireland,United Kingdom of Great Britain and Northern Ireland,NA,Yes - First author;Yes - One or more middle authors;Yes - Data labourers from the georegion are in the Acknowledgements,NA,Yes,Yes,Dryad,Yes,Yes,Yes,.csv/.tsv,Yes,8,All the data necessary to reproduce all analyses and results are archived.,Yes,CC0,Yes,1,Unclear,NA,NA,Yes,"All statistical analysis was undertaken using R version 3.5.3 (R Core Team, 2019). We fitted linear regression models with either the mean total abundance of species or stability of total community abundance over time as the response variable and functional dispersion using different combinations of traits as the explanatory variable. 

",No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,2025-09-29,NA,NA,NA,NA,NA,NA,148
2025/09/29 9:44:06 am GMT,8060,10.1111/1365-2435.13746,2021,Functional Ecology,Research Article,"All data and R code necessary to reproduce the analyses described above are deposited in the Dryad Digital Repository https://doi.org/10.5061/dryad.xpnvx0kdr (Austin & Gilbert, 2021).",Yes,Australia,Australia,United Kingdom of Great Britain and Northern Ireland,Yes - First author,NA,Yes,Yes,Dryad,Yes,Yes,Yes,.csv/.tsv,Yes,10,All the data necessary to reproduce all analyses and results are archived.,Yes,CC0,No,NA,No,NA,NA,Yes,NA,Yes,Yes,NA,Yes,Dryad,Yes,Yes,Yes,R (including Rmarkdown),.Rmd,Yes,10,10,No,Yes,NA,No,Yes,CC0,NA,No,NA,NA,No,NA,No,NA,29/09/2025,NA,NA,NA,NA,NA,NA,148
2025/09/29 9:45:59 am GMT,1300,http://doi.org/10.1111/2041-210X.14252,2023,Methods in Ecology and Evolution,Research Article,"All data used within the manuscript are available as part of the disdat package on R (Elith et al., 2020). All R scripts used to produce simulations, obtain real datasets and perform analyses within the manuscript are archived on Zenodo (Dovers, 2023) or available at: https://github.com/ElliotDovers/Fast-IDM-Code.",No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,Yes,Yes,NA,Yes,"GitHub, Codeberg, Gitlab, or similar platform;Zenodo",Yes,Yes,Yes,R (including Rmarkdown),.R,Yes,7,6,No,Not an R package,NA,Yes,Yes,CC BY,NA,Unclear,NA,NA,Unclear,NA,No,NA,2025-09-29,NA,NA,NA,NA,NA,NA,148
2025/09/29 9:46:33 am GMT,8100,10.1111/1365-2745.13671,2021,Journal of Ecology,Research Article,"Data are available on Figshare https://doi.org/10.6084/m9.figshare.13096061.v2 (De Pauw, 2020).",Yes,Belgium,Belgium,Belgium;France;Germany;Italy;Norway;Sweden;Switzerland,Yes - First author;Yes - Last author;Yes - One or more middle authors;Data labourers are in the Acknowledgements but it is unclear where they are based;At least 19 individuals were acknowledged in the acknowledgments section but were not given authorship status. All coauthors seemed to be from region of data origins,NA,Yes,Yes,Figshare,Yes,Yes,Yes,.csv/.tsv,No,2,Unsure,Yes,CC BY,No,NA,No,NA,NA,Yes,"We used generalised linear mixed models (GLMMs) to infer responses of the nine diversity metrics (Table 1) to environmental drivers and performed all analyses in R (R Development Core Team, 2020).",No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,2025-09-28,NA,NA,NA,NA,NA,NA,148
2025/09/29 9:50:58 am GMT,3245,10.1111/1365-2435.13859,2021,Functional Ecology,Research Article,"Data available from the Dryad Digital Repository https://doi.org/10.5061/dryad.dncjsxkx2 (Yamawo, 2020).",Yes,Japan,Japan,Japan,Yes - One or more middle authors,NA,Yes,Yes,Dryad,Yes,Yes,Yes,.xls(x),No,NA,Most data are provided with only small omissions (~75% of analyses can be repeated).,Yes,CC0,No,NA,No,NA,NA,Unsure,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No mention of software being used for the analyses so maybe they have used some software for analyses,2025-09-29,NA,NA,NA,NA,NA,NA,148
2025/09/29 9:54:47 am GMT,1515,10.1111/1365-2664.14349,2023,Journal of Applied Ecology,Research Article,"Data are originally provided by Mekong River Commission and the Inland Fisheries Research and Development Institute (IFReDI) of Cambodia and are available in raw form via request to the Mekong River Commission by writing to S.N. (sonam@mrcmekong.org). After removing attributes that would lead to sensitive personal information, all data used in analysis are archived via the Dryad Digital Repository and are available at https://doi.org/10.5061/dryad.kwh70rz7j (Deng et al., 2022).
",Yes,United States of America,United States of America,Cambodia,Yes - One or more middle authors;Yes - Data labourers from the georegion are in the Acknowledgements,NA,Yes,Yes,Dryad,Yes,Yes,Yes,.csv/.tsv;.md,Yes,3,Unsure,Yes,CC0,Yes,2,Unclear,Unclear,UNCLEAR,No,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,2025-09-29,NA,NA,NA,NA,NA,NA,148
2025/09/29 9:56:20 am GMT,1017,10.1111/2041-210X.14125,2023,Methods in Ecology and Evolution,Research Article,"Israel BATScan data sample, classifiers, codes and other relevant datasets are available at https://figshare.com/projects/BATScan_data_MEE/150732.",Yes,Israel,Israel,Israel,Yes - First author;Yes - Last author;Yes - One or more middle authors;Data labourers are in the Acknowledgements but it is unclear where they are based,NA,Yes,Yes,Figshare,Yes,Yes,Maybe if I had the correct software,.,No,NA,Unsure,No,NA,No,NA,No,NA,NA,Yes,NA,Yes,Yes,NA,Yes,Figshare,Yes,Yes,Yes,R (including Rmarkdown),.Rmd,No,NA,3,No,Not an R package,NA,No,No,NA,NA,No,NA,NA,NA,NA,No,NA,2025-09-29,NA,NA,NA,NA,NA,NA,148
2025/09/29 9:56:21 am GMT,3,https://doi.org/10.1111/1365-2664.14776,2024,Journal of Applied Ecology,Research Article,"Data are available from the Dryad Digital Repository: https://doi.org/10.5061/dryad.547d7wmhp (Soh et al., 2024).",Yes,Singapore,Singapore,Singapore,Yes - First author;Data labourers are in the Acknowledgements but it is unclear where they are based,NA,Yes,Yes,Dryad,Yes,Yes,Yes,.csv/.tsv,Yes,5,Methods section is unclear with regards to variables used in GLMMs,Yes,CC0,No,NA,No,NA,NA,Yes,"All analyses were conducted using R v 4.2.1 (R Core Team, 2022). Packages used for analyses included ‘car’ (v 3.1–0) to determine VIFs for each predictor (Fox & Weisberg, 2019), ‘lme4’ (v 1.1–29; Bates et al., 2015), ‘glmmTMB’ (v 1.1.3; Brooks et al., 2017) and ‘zoib’ (v 1.5.5; Liu & Kong, 2015), to build our GLMMs, ‘lmtest’ (v 0.9–40) to conduct our likelihood ratio tests (Zeileis & Hothorn, 2022), ‘MuMIN’ (v 1.46.0) for model selection (Bartoń, 2023), ‘DHARMa’ (v 0.4.5) for model validation (Florian & Lukas, 2022) and ‘spaa’ (v 0.2.2) and ‘cluster’ (v 2.1.4) to determine the niche widths and overlaps (Maechler et al., 2023; Zhang & Ma, 2022)",No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,29/09/2025,NA,NA,NA,NA,NA,NA,148
2025/09/29 9:56:47 am GMT,8061,10.1111/1365-2745.14452,2024,Journal of Ecology,Research Article,"Data available from the Dryad Digital Repository: https://doi.org/10.5061/dryad.bnzs7h4mb (Hulting et al., 2024).",Yes,United States of America,United States of America,United States of America,Yes - First author;Yes - Last author;Yes - One or more middle authors;Yes - Data labourers from the georegion are in the Acknowledgements,NA,Yes,Yes,Dryad,Yes,Yes,Yes,.csv/.tsv,Yes,10,All the data necessary to reproduce all analyses and results are archived.,Yes,CC0,Yes,1,Unclear,Unclear,UNCLEAR,Yes,"All analyses were conducted in R v. 4.2.3 (R Core Team, 2023)",No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,29/09/2025,NA,NA,NA,NA,NA,NA,148
2025/09/29 9:56:54 am GMT,1688,http://doi.org/10.1111/1365-2435.14093,2022,Functional Ecology,Research Article,Data used for the survival analyses are available from https://doi.org/10.17605/osf.io/3crwb. The sequences data used for wild diet analyses were obtained from Weinstein et al. (2021) and are available from the NCBI SRA under Bioproject: PRJNA722312.,Yes,United States of America,United States of America,United States of America,Yes - First author;Yes - One or more middle authors,NA,Yes,Yes,OSF (https://osf.io/),Yes,No,Yes,.xls(x),No,NA,All the data necessary to reproduce all analyses and results are archived.,Unsure,NA,Unsure,NA,Unclear,NA,NA,Yes,"The microsatellite data were imported into R v.4.0.1 (R Core Team, 2021) and converted into an allele frequency matrix with the R package adegenet v.2.1.3 (Jombart, 2008).",No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,2025-09-29,NA,NA,NA,NA,NA,NA,148
2025/09/29 9:57:17 am GMT,1111,10.1111/1365-2664.13011,2017,Journal of Applied Ecology,Research Article,"All data used in this article are available on Deep Blue Data, theUniversity of Michigan’s digital repository for research data https://doi.org/10.7302/z2wm1bk6 (Blesh, 2017).",Yes,United States of America,United States of America,United States of America,Yes - First author,NA,Yes,Yes,Institutional repository,Yes,Yes,Yes,.csv/.tsv,Yes,9,The main analyses of the paper cannot be repeated with the data that has been archived.,Yes,CC BY,Unsure,Unclear,Unclear,Unclear,UNCLEAR,Yes,"All statistical analyses were computed in r (The R Foundation for Statistical Consulting, Vienna, Austria) using the lme4 package for lin-ear, mixed-effect models with treatment as a fixed effect and block nested in farm as a random effect.",No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Individual data files lead to broken links but the entire dataset can be downloaded as a zipped folder,2025-09-29,NA,NA,NA,NA,NA,NA,148
2025/09/29 9:58:34 am GMT,1326,http://doi.org/10.1111/1365-2435.13502,2020,Functional Ecology,Research Article,"The source data for this manuscript are deposited in the Dryad Digital Repository: https://doi.org/10.5061/dryad.k6djh9w39 (Mohiley, Tielboerger, Seifan, & Gruntman, 2019).",Yes,Germany,Germany,Germany,Yes - First author;Yes - Last author;Yes - One or more middle authors;Data labourers are in the Acknowledgements but it is unclear where they are based,NA,Yes,Yes,Dryad,Yes,Yes,Yes,.xls(x),No,NA,All the data necessary to reproduce all analyses and results are archived.,Yes,CC0,No,NA,No,NA,NA,Unsure,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,2025-09-29,NA,NA,NA,NA,NA,NA,148
2025/09/29 10:00:05 am GMT,7888,10.1111/1365-2435.14036,2022,Functional Ecology,Research Article,"The raw data and code supporting the results of this study are available at the Dryad Digital Repository: https://doi.org/10.5061/dryad.5mkkwh77r (Ferrin et al., 2022).",Yes,Spain,Spain,Denmark;France;Hungary;Italy;Netherlands (Kingdom of the);Spain;United Kingdom of Great Britain and Northern Ireland,Yes - First author;Yes - Last author;Yes - One or more middle authors,NA,Yes,No,Dryad,Yes,No,No,NA,Unsure,NA,Unsure,Unsure,NA,Unsure,NA,Unclear,NA,NA,Yes,"All data handling, visualization and statistical analyses were carried out using R v4.0.0 (R Core Team, 2020).",Yes,Yes,NA,No,Dryad,Yes,No,No,R (including Rmarkdown),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,2025-09-29,NA,NA,NA,NA,NA,NA,148
2025/09/29 10:00:25 am GMT,5700,10.1111/1365-2656.13411,2021,Journal of Animal Ecology,Research Article,"Data available from the Dryad Digital Repository https://doi.org/10.5061/dryad.sf7m0cg50 (de Jong et al., 2020).",Yes,Austria,Austria,Norway;Sweden,No authors are based in the georegion,NA,Yes,Yes,Dryad,Yes,Yes,Yes,.xls(x),Yes,7,Unsure,Yes,CC0,No,0,No,0,NA,Yes,"We analysed the data using R version 3.5.1 (R Core Team, 2018).",No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,2025-09-29,NA,NA,NA,NA,NA,NA,148
2025/09/29 10:04:56 am GMT,2270,10.1111/1365-2656.14045,2024,Journal of Animal Ecology,Research Article,"Data available from the figshare repository: https://doi.org/10.6084/m9.figshare.24786867.v2 (Dejeante et al., 2023).",Yes,France,France,Zimbabwe,Yes - Last author;Yes - One or more middle authors;Data labourers are in the Acknowledgements but it is unclear where they are based,NA,Yes,Yes,Figshare,Yes,Yes,Yes,.rds,Yes,4,All the data necessary to reproduce all analyses and results are archived.,Yes,CC BY,No,NA,NA,NA,NA,Yes,"we initially interpolated lion trajectories to hourly locations using a continuous-time correlated random walk model, as implemented in the R package crawl",No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,"Hard to know whether data allow to redo all analyses if code is not given. Because data given is the raw data, we assumed that if method section was complete, all analyses could be reproduced.",2025-09-29,NA,NA,NA,NA,NA,NA,148
