paper_number,doi,year_published,journal,article_type,data_used,data_availability,data_availability_text,data_link,data_archive,data_doi,data_license,data_license_type,data_download,data_open,data_format,data_README,data_README_scale,data_completeness,code_used,code_alert,code_archived,code_availability,code_link,code_archive,code_doi,code_license,code_license_type,code_CITATION,code_download,code_open,code_format,code_language,code_README,code_README_scale,code_annotation_scale,code_vignette,code_Rpackage_available,code_OTHERpackage_available,code_application_cited,code_comments,country_corresponding,country_first,georegion_data,georegion_author_match,georegion_data_cited,equity_comments,comments,course_of_action,justification,recorder_ID
2273,10.1111/2041-210X.14054,2023,Methods in Ecology and Evolution,Research Article,Yes,Yes,"All simulation results, data and code to reproduce the simulations and results of this paper are available at https://doi.org/10.5281/zenodo.7348035 (Brack, 2022). We also provide a website (https://ismaelvbrack.github.io/designNmix4droneSurveys) to simulate scenarios and see the results of this paper.",Yes,Zenodo,Yes,Yes,MIT,Yes,Yes,.md;.rds,Yes,6,All the data necessary to reproduce all analyses and results are archived.,Yes,NA,Yes,Yes,Yes,"GitHub, Codeberg, Gitlab, or similar platform;Zenodo",Yes,Yes,MIT,No,Yes,Yes,"native source code (e.g. .R, .py, .jl, etc);.txt","R (including Rmarkdown, Quarto)",Yes,8,10,No,Not an R package,NA,NA,NA,Brazil,Brazil,NO DATA COLLECTED,NA,NA,NA,"The paper was a simulation study, so it was quite difficult to separate the code from the data. It would be good for someone to double check we made appropriate decisions.",Edit,Revised the file types but otherwise fine,139
1012,10.1111/1365-2656.12926,2018,Journal of Animal Ecology,Research Article,Yes,Yes,"Brownian bridge utilization distributions and GPS point data for migratory animals are available at the Dryad Digital Repository: https://doi.org/10.5061/dryad.m57t6d7 (Sawyer, Merkle, Middleton, Dwinnell, & Monteith, 2018).",Yes,Dryad,Yes,Yes,CC0,Yes,Yes,.csv/.tsv;.xml;.shp;.img,Yes,5,All the data necessary to reproduce all analyses and results are archived.,Yes,"We parameterized BBMMs with 10 m location error and 100 ?ó 100 m grid cell size using the ‚ÄúBBMM‚Äù package in R (R Foundation for Statistical Computing, Vienna, Austria).",No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,United States of America,United States of America,United States of America,Yes - First author;Yes - Last author;Yes - One or more middle authors,NA,NA,NA,Edit,Updates made based on data download,82
2748,10.1111/1365-2745.14155,2023,Journal of Ecology,Research Article,Yes,No,"All code used for the analyses of this paper are archived on Zenodo https://doi.org/10.5281/zenodo.8026981 (Evers et al., 2023).",No,NA,No,NA,NA,No,NA,NA,No,NA,NA,Yes,NA,Yes,Yes,Yes,Zenodo,Yes,Yes,Other (Open),No,Yes,Yes,"native source code (e.g. .R, .py, .jl, etc)","R (including Rmarkdown, Quarto);Shell",Yes,1,2,No,Not an R package,NA,7,NA,Germany,Germany,NA,NA,NA,"No Sampling, Conceptual/Method study",NA,Edit,"Study conducts simulations but only provides code, no data, so this half of answers are correct; code answers wrongly stated Dryad repository",3
1131,10.1111/1365-2745.13873,2022,Journal of Ecology,Research Article,No,NA,"The data are stored as the China Plant Trait Database (Wang et al., 2018) in PANGAEA https://doi.pangaea.de/10.1594/PANGAEA.871819 (Wang et al., 2017).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unsure,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,China,China,NO DATA COLLECTED,Yes - First author;Yes - Last author;Yes - One or more middle authors,NA,NA,NA,Edit,Data section had been completed but data are drawn from a pre-existing database and therefore not novel,35
30,10.1111/2041-210X.13650,2021,Methods in Ecology and Evolution,Research Article,No,NA,"The methodology to estimate the AOA has been implemented and published in the R package cast (Meyer, 2021a) which is available on CRAN. The simulation studies and all figures of this paper can be reproduced using the R-markdown scripts available from https://doi.org/10.5281/zenodo.4764404 (Meyer, 2021b; or use the developer version: https://github.com/HannaMeyer/MEE_AOA). This repository further includes more detailed figures on the methodology.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,Yes,Yes,Yes,Zenodo,Yes,Yes,GPL,Yes,Yes,Yes,"native source code (e.g. .R, .py, .jl, etc);markdown / notebook containing code (e.g. .Rmd, .qmd, etc)","R (including Rmarkdown, Quarto)",Yes,8,10,No,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,The package published in the paper is also separately published on CRAN.,None,Comment information documented in answers,143
1180,https://doi.org/10.1111/1365-2745.12892,2017,Journal of Ecology,Research Article,Yes,Yes,"Data deposited in the Dryad Digital Repository http://datadryad.org/resource/doi:10.5061/dryad.bd124 (Boulanger, Taylor, Price, Cyr, Sainte-Marie, 2013).

All data and R codes are also available at the following web address: https://github.com/dcyr.",Yes,Dryad,Yes,Yes,CC0,Yes,Yes,.txt;.tiff -- all files (including .txt) are related to LANDIS,No,NA,Unsure,Yes,NA,Yes,Yes,No,"GitHub, Codeberg, Gitlab, or similar platform",No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Canada,Canada,NO DATA COLLECTED,NA,NA,NA,The code link took us to the authors GitHub where it was impossible to determine which code related to this paper and therefore answer the code questions.,Edit,"The link points to the author's GitHub account which contains no repository clearly linked to the paper, so I have updated the answers to reflect that the code is not formally findable",43
105,http://doi.org/10.1111/2041-210X.13937,2022,Methods in Ecology and Evolution,Research Article,Yes,Yes,"All datasets used in this study are publicly available from NCBI GenBank (see Table 1). The newly devised pipeline is maintained and available from https://github.com/laczkol/RADOrgMiner

The RADOrgMiner v0.9 script used in this study is achieved on Zenodo (Laczk?? et al., 2022) and can be accessed at: https://doi.org/10.5281/zenodo.6619190",Yes,NCBI GenBank,No,Unsure,NA,Yes,Yes,.fastq,No,NA,All the data necessary to reproduce all analyses and results are archived.,Yes,NA,Yes,Yes,Yes,Zenodo,Yes,Yes,GNU General public license,No,Yes,Yes,"native source code (e.g. .R, .py, .jl, etc)",Shell,Yes,10,6,No,Not an R package,NA,NA,NA,Hungary,Hungary,NO DATA COLLECTED,NA,NA,NA,they use NCBI data for benchmark the pipeline,None,Comment information documented in answers,9
4202,10.1111/1365-2435.14616,2024,Functional Ecology,Research Article,Yes,Yes,"Data available from the Dryad Digital Repository: https://doi.org/10.5061/dryad.c2fqz61jd (Decunta et al., 2024).",Yes,Dryad,Yes,Yes,CC0,Yes,Yes,.csv/.tsv,Yes,8,"Only processed data (no raw data), but this reproduces all analyses and results.",Yes,"All the analyses were made with the R programming language (v4.2.2; R Core Team, 2022), using base R functions and some additional packages (MASS package, Venables & Ripley, 2002; car package, Fox & Weisberg, 2019; nlme package, Pinheiro & Bates, 2023).",No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Argentina,Argentina,Argentina,Yes - First author;Yes - Last author;Yes - One or more middle authors;Yes - Data labourers from the georegion are in the Acknowledgements;Data labourers are in the Acknowledgements but it is unclear where they are based,NA,NA,"Only processed data (no raw data), but this reproduces all analyses and results.",None,"Lack of raw data (only processed data) was not directly addressed in questions, but answers reflect that all presented analyses could be reproduced",84
1053,https://doi.org/10.1111/2041-210X.13931,2022,Methods in Ecology and Evolution,Practical Tools,Yes,Yes,"Data are available on dryad at (Cauchoix, 2022, https://doi.org/10.5061/dryad.c2fqz61bj). Firmware (see Supporting Information), software and 3D printed files can be found on https://github.com/OpenFeeder and at (Cauchoix et al., 2022, https://doi.org/10.5281/zenodo.6542026).",Yes,Dryad,Yes,Yes,CC0,Yes,Yes,.csv/.tsv,Yes,8,Unsure,Yes,NA,Yes,Yes,Yes,"GitHub, Codeberg, Gitlab, or similar platform;Zenodo",Yes,Yes,CC BY,No,Yes,Yes,"native source code (e.g. .R, .py, .jl, etc)",Python;MATLAB,Yes,1,1,No,Not an R package,NA,NA,NA,France,France,France,Yes - First author;Yes - Last author;Yes - One or more middle authors,NA,NA,"The paper describes a method for a bird feeder including firmware. It has some data and presents figures, but does not really provide any code for this. Since this is a bit a unusual paper, it might be worth checking that I got the data collection for this paper right.",Edit,Updated code answers to reflect software (which was overlooked as code by original enterer),26
1043,10.1111/1365-2435.14733,2024,Functional Ecology,Research Article,Yes,Yes,"Experiment data available from the Dryad Digital Repository: https://doi.org/10.5061/dryad.7d7wm384x (Salazar-Fillippo et al., 2024a). SRA data available from the NIH‚ÄîNCBI Repository: https://www.ncbi.nlm.nih.gov/sra/PRJNA1140444 (Salazar-Fillippo et al., 2024b).",Yes,Dryad;NCBI GenBank,Yes,Yes,CC0,Yes,Yes,.txt,Yes,8,Unsure,Yes,All statistical analyses were performed in R v. 4.0.2,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Czechia,Czechia,Belgium,Yes - Last author;Yes - One or more middle authors,NA,NA,Two datasets in different repositories with different properties,Edit,Updated answers to reflect Dryad repository rather than NCBI entry,30
2325,10.1111/1365-2435.14517,2024,Functional Ecology,Research Article,Yes,Yes,"Sequences are available on GenBank (Sequence Read Archive (SRA) submission: SUB14150942). Code (QIIME2 pipeline and R) and datasets are available on Dryad Digital Repository: https://doi.org/10.5061/dryad.2ngf1vhwv (Lash et al., 2024).",Yes,Dryad,Yes,Yes,CC0,Yes,Yes,.csv/.tsv,Yes,7,All the data necessary to reproduce all analyses and results are archived.,Yes,All analyses were conducted in R (version 3.6.0).,Yes,Yes,Yes,Zenodo,Yes,Yes,MIT,No,Yes,Yes,"native source code (e.g. .R, .py, .jl, etc);unspecified file type","R (including Rmarkdown, Quarto);Python",No,NA,2,No,Not an R package,NA,NA,NA,United States of America,United States of America,United States of America,Yes - First author;Yes - Last author;Yes - One or more middle authors;Yes - Data labourers from the georegion are in the Acknowledgements,NA,NA,"The data availability statement talk about code being archived along with the data, but the R code files aren't available in the repository although there is a readme.md for 5 to 6 R files and the .csv files",Edit,The code file is in a Zenodo repository attached to the Dryad repository,105
7344,10.1111/1365-2745.12881,2017,Journal of Ecology,Research Article,Yes,Yes,"Data from this paper are available from Table S1 and the Dryad Digital Repository: https://doi.org/10.5061/dryad.r7v91 (Pearson et al., 2017).",Yes,Dryad;Supplementary materials,Yes,Yes,CC0,Yes,Yes,.doc(x);.xls(x),Yes,5,Unsure,Yes,"""All analyses were conducted with sas, version 9.4 (SAS Institute, 2013). "" ""To test whether species invaders differed in abundance between the introduced and native ranges (i.e. deviated from the 1:1 line of equal abundance between ranges), we treated each abundance metric as the response in a GLLM (PROC GLIMMIX, SAS Institute, 2013) that included range as a fixed factor and invader as a random factor.""",No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,United States of America,United States of America,Argentina;T?ºrkiye;United States of America,Yes - First author;Yes - Last author;Yes - One or more middle authors;Data labourers are in the Acknowledgements but it is unclear where they are based,NA,NA,"Not sure about the need of coding in SAS  (SAS Institute, 2013)",Edit,SAS actually does use code,2
4000,10.1111/1365-2745.13733,2021,Journal of Ecology,Research Article,Yes,Yes,"The trait data used in this paper are accessible through the Dryad Digital Repository https://doi.org/10.5061/dryad.prr4xgxmh (Zhang et al., 2021).",Yes,Dryad,Yes,Yes,CC0,Yes,Yes,.xls(x),Yes,1,Most data are provided with only small omissions (~75% of analyses can be repeated).,Yes,"The hypothesized phylogenetic tree for all species in our dataset was constructed using the R package V.PhyloMaker (Jin & Qian, 2019)",No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,China,China,Italy,Yes - One or more middle authors,UNCLEAR,"Authors from multiple countries; species checklist for Italian Islands; One author Italy, Trait data from BIEN, TRY, and BROT","Situation: Data compiled from Literature; authors from multiple countries; species checklist for Italian Islands; One author Italy, Trait data from BIEN, TRY, and BROT",Edit,"Ambiguity over relationship between authors and data collection, this edit seems the fairest way to represent the data",1
2374,10.1111/1365-2745.13135,2019,Journal of Ecology,Research Article,Yes,Yes,"Data available from the Dryad Digital Repository: https://doi.org/10.5061/dryad.59f10v7 (Villamil, Boege, & Stone, 2019).",Yes,Dryad,Yes,Yes,CC0,Yes,Yes,.xls(x),No,NA,All the data necessary to reproduce all analyses and results are archived.,Yes,"All statistical analyses were conducted in r version 3.23 (R Core Team, 2014).",No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,United Kingdom of Great Britain and Northern Ireland,United Kingdom of Great Britain and Northern Ireland,Mexico,Yes - One or more middle authors;Yes - Data labourers from the georegion are in the Acknowledgements,NA,NA,The corresponding author's country is a mismatch in the excel sheet and the original article,Edit,Country of affiliation was entered incorrectly,105
6654,10.1111/2041-210X.12747,2017,Methods in Ecology and Evolution,Application,Yes,No,"Data used in the Usage example section were downloaded from the 1000 Genomes Project (The 1000 Genomes Project Consortium, 2015) ftp site, following the link for Phase 3 VCF data at http://www.internationalgenome.org/data.",Yes,Institutional repository,Yes,Unsure,NA,Yes,Yes,.csv/.tsv;.txt,Unsure,NA,Unsure,Yes,Haplostrips is a command-line tool written in Python and R.,"Yes, but it's not explicitly mentioned in the data archiving statement",It is mentioned in the conclusion section,Yes,BitBucket,Not sure where to find,Yes,GPL,No,Yes,Maybe if I had the right software,Not sure,"R (including Rmarkdown, Quarto);Python",Yes,9,7,ReadMe has,Unable to check,"To correctly run Haplostrips you will need: - Python pandas package version 0.17.0 or newer

If you want to use tabix indexing to retrieve windows faster: - Python pysam package Automatically used if it finds .tbi files, to avoid this please rename the .tbi files involved.

Dependencies need pip Python package manager to be installed. If you do not have it on your system or you are not sure please visit:

https://pip.pypa.io/en/stable/installing/",32,NA,Italy,Italy;United States of America,NO DATA COLLECTED,NA,UNCLEAR,existing data used,"This was an application paper where the authors used existing data to perform analyses to have a plot output. This analysis was the main outcome of the paper that was made into a software. The authors used existing data, the link for which was reported in the 'Data Accessibility Statement'. Since the data was not the outcome of the research, but was archived, I had trouble responding to section 2 and 3. In addition, the code was not mentioned anywhere but in the 'Conclusion' section since it was the main outcome of the paper and was archived. This was however difficult to comprehend despite the detailed ReadMe file. This was especially the case due to lack of sample data in the code repository and the incompatibility of my Windows system to run the code without compressing and decompressing the data",Delete,"Data are second-hand but this has been entered incorrectly, and the code situation is complex; more efficient to delete",117
1715,10.1111/1365-2745.13620,2021,Journal of Ecology,Research Article,Yes,Yes,"The datasets used to analyse the current study are available from the BEF-China website FoliarFungi2014 https://data.botanik.uni-halle.de/bef-china/datasets/635 and from the iDiv Biodiversity Data Portal (iBDP) https://doi.org/10.25829/idiv.1915-15-3293 (Rutten et al., 2021).",Yes,Institutional repository,Yes,Yes,CC BY 4.0,Yes,Yes,.csv/.tsv,"I feel it is important to note that the data has metadata but not a README or a data dictionary/codebook. The metadata provided is perfect, but since there is no README or data dictionary, I decided not to answer question 9.",NA,Some analyses can be repeated but not all (~50% of analyses can be repeated).,Yes,"All analyses were done in r 3.6.1 (R Core Team, 2019) using the packages lme4, version 1.1-21 (Bates et al., 2014), lmerTest, version 3.1-0 (Kuznetsova et al., 2017), ggplot2, version 3.2.1 (Wickham, 2011), picante, version 1.8 (Kembel et al., 2010), phylobase (Hackathon et al., 2019) and ape, version 5.3 (Paradis & Schliep, 2019).",No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Germany,Germany,China,No authors are based in the georegion;Data labourers are in the Acknowledgements but it is unclear where they are based,NA,NA,"Fifth paper I did. I took 16 minutes, in case that is useful. I feel it is important to note that the data has metadata but not a README or a data dictionary/codebook. The metadata provided is perfect, but since there is no README or data dictionary, I decided not to answer question 9. The authors provide data in an institutional repository. Since the repository does not display citations, I went to DataCite to figure it out (https://commons.datacite.org/?query=10.25829%2Fidiv.1915-15-3293). It is important to note that one of the dataset they say to provide cannot be downloaded (BEF-China website FoliarFungi2014 https://data.botanik.uni-halle.de/bef-china/datasets/635), which is why I chose ‚ÄúSome analyses can be repeated but not all (~50% of analyses can be repeated).‚Äù But answer the other data questions based on the dataset that was provided (iDiv Biodiversity Data Portal (iBDP) https://doi.org/10.25829/idiv.1915-15-3293).",None,Comment information documented in answers,11
62,https://doi.org/10.1002/pan3.10410,2022,People and Nature,Research Article,Yes,Yes,"Data deposited in the Dryad Digital Repository https://doi.org/10.5061/dryad.kh1893298 (McDowell, David, et al., 2022).",Yes,Dryad,Yes,Yes,CC0,Yes,Yes,.xls(x),Yes,7,Most data are provided with only small omissions (~75% of analyses can be repeated).,Unsure,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Australia,Australia,Australia,Yes - First author;Yes - Last author;Yes - One or more middle authors;Yes - Data labourers from the georegion are in the Acknowledgements,NA,"An ethics statement states that this research ""has been conducted with the full support of the GunaiKurnai Land and Waters Aboriginal Corporation"".","My issue for this paper- was not 100% sure of a lack of code. Checked and could not find any reference to code in the Data Availability Statement, Methods section or Supplementary Materials.
",Edit,Changed answer to align with comment,66
1343,10.1111/1365-2745.14139,2023,Journal of Ecology,Research Article,Yes,Yes,"The R-script and raw dataset supporting the results of this work are available at Zenodo Digital Repository: https://doi.org/10.5281/zenodo.7982973 (Moura et al., 2023).",Yes,Zenodo,Yes,Yes,CC BY,Yes,Yes,.csv/.tsv,Yes,9,All the data necessary to reproduce all analyses and results are archived.,Yes,NA,Yes,Yes,Yes,Zenodo,Yes,Yes,CC BY,No,Yes,Yes,"native source code (e.g. .R, .py, .jl, etc)","R (including Rmarkdown, Quarto)",Yes,8,10,No,Not an R package,NA,NA,NA,Brazil,Brazil,NO DATA COLLECTED,Yes - First author;Yes - Last author;Yes - One or more middle authors,NA,"Data is a combination of pre-existing datasets and a literature review. Study is centred on Brazil, where all authors are affiliated.","I was not meant to review this paper, I misread the line in the article metadata sheet. This entry is likely a duplicate of someone else's effort. Apologies.",Delete,(Likely) duplicated,103
